0,y-zoom piano roll,a y-zoom on the piano roll would be useful.,1
1,buggy behavior in selection,! screenshot from 2016-02-23 21 27 40  https://cloud.githubusercontent.com/assets/9442944/13260424/cf086b72-da74-11e5-8584-68534b3fd9a0.png \r,0
2,auto update feature,"hi,\r \r great job so far, @saenzramiro ! : \r \r an auto update feature would be nice to have.\r or alternatively a menu button to check for the latest version manually.",1
3,filter out noisy endpoints in logs,i think we should stop logging requests to:\r   -  __health \r   -  __gtg \r   -  favicon.ico \r,1
4,enable pid on / pid off alarm actions for arduino/tc4,"expected behavior\r alarm actions pid on and pid off should enable / disable hardware pid on arduino/tc4 platform. rampsoak on / off may also be affected.\r \r    actual behavior\r pid state on aruidno/tc4 does not change when alarm activates.\r \r    steps to reproduce the problem\r alarm handlers only work if aw.qmc.controlbuttonflag is set  sw only? . aw.qmc.controlbuttonflag case is handled in pidon   / pidoff   functions so this condition may be able to be removed from the alarm handlers to keep them generalized for all pid types.\r \r main.py : 2802-2827\r    \r             elif self.alarmaction alarmnumber  == 17:\r                   rampsoak on\r                 if aw.qmc.device == 0 and aw.fujipid:   fuji pid\r                     aw.fujipid.setrampsoak 1 \r                 elif  aw.pidcontrol and aw.qmc.controlbuttonflag :   internal or external modbus pid control\r                     aw.pidcontrol.svmode = 1\r                     aw.pidcontrol.pidon  \r             elif self.alarmaction alarmnumber  == 18:\r                   rampsoak off\r                 if aw.qmc.device == 0 and aw.fujipid:   fuji pid\r                     aw.fujipid.setrampsoak 0 \r                 elif  aw.pidcontrol and aw.qmc.controlbuttonflag :    internal or external modbus pid control\r                     aw.pidcontrol.svmode = 0\r                     aw.pidcontrol.pidoff  \r             elif self.alarmaction alarmnumber  == 19:\r                   pid on\r                 if aw.qmc.device == 0 and aw.fujipid:   fuji pid\r                     aw.fujipid.setonoffstandby 0 \r                 elif  aw.pidcontrol and aw.qmc.controlbuttonflag :   internal or external modbus pid control\r                     aw.pidcontrol.pidon  \r             elif self.alarmaction alarmnumber  == 20:\r                   pid off\r                 if aw.qmc.device == 0 and aw.fujipid:   fuji pid\r                     aw.fujipid.setonoffstandby 1 \r                 elif  aw.pidcontrol and aw.qmc.controlbuttonflag :   internal or external modbus pid control\r                     aw.pidcontrol.pidoff  \r    \r \r might be worth checking if this pattern occurs elsewhere in the code  e.g. key press handlers: ln14861, ln14874, ln14881? .\r \r    specifications\r   - artisan version: 1.3.0\r   - artisan build  number in brackets shown in the about box : ca3c5f16\r   - platform  mac/windows/linux + os version : win64\r   - connected devices or roasting machine: arduino with tc4 pid firmware\r",0
5,script stopped adding video's,a recent change in the youtube layout broke the script.\r probably caused by element names being altered.,0
6,add the translations of v3.1.0-beta.4,release electron v3.1.0-beta.4 - electron/electron  https://github.com/electron/electron/releases/tag/v3.1.0-beta.4,1
7,proposal  loadtranslation   to lazy load scopewithtranslation,"php\r public function loadtranslation  \r {\r     return $this->load  \r         'translations' => function  relation $query  {\r             if  $this->usefallback    {\r                 $locale = $this->locale  ;\r                 $countryfallbacklocale = $this->getfallbacklocale $locale ; // e.g. de-de => de\r                 $locales = array_unique  $locale, $countryfallbacklocale, $this->getfallbacklocale    ;\r \r                 return $query->wherein $this->gettranslationstable  .'.'.$this->getlocalekey  , $locales ;\r             }\r \r             return $query->where $this->gettranslationstable  .'.'.$this->getlocalekey  , $this->locale   ;\r         },\r       ;\r }\r    \r \r or maybe you could do this\r \r    php\r public function loadtranslation  \r {\r     $query = $this->newquerywithoutrelationships  ->withtranslation  ;\r     $query->eagerloadrelations  $this  ;\r \r     return $this;\r }\r",2
8,bot should post to listings periodically instead of only posting on startup,"postbotstats  ; is only called when the bot connects to discord, meaning that the server count only updates when the bot loses connection to discord.",1
9,en la org ull-esit-pl-1617 people info /nico/ produce crash,\r crguezl>ull-esit-pl-1617> people info /nico/\r exit\r undefined method  match' for nil:nilclass\r    \r \r desconozco la causa,0
